timestamp,cpu_user,cpu_system,rss,heapTotal,heapUsed,external
1726750637246, 2899477, 140820, 208531456, 126578688, 122092968, 5534107
1726750638251, 2900028, 140820, 208531456, 126578688, 122099672, 5534118
1726750639257, 2900687, 140849, 208531456, 126578688, 122106376, 5534129
1726750640261, 2901410, 140884, 208531456, 126578688, 122113104, 5534140
1726750641267, 2902048, 140915, 208531456, 126578688, 122119832, 5534151
1726750642272, 2903320, 140927, 208531456, 126578688, 122126560, 5534162
1726750643276, 2904242, 140931, 208531456, 126578688, 122133288, 5534173
1726750644281, 2904615, 140941, 208531456, 126578688, 122140048, 5534184
1726750645286, 2905153, 140967, 208531456, 126578688, 122146776, 5534195
1726750646290, 2905566, 140987, 208531456, 126578688, 122153504, 5534206
1726750647295, 2906041, 141010, 208531456, 126578688, 122160232, 5534217
1726750648301, 2907170, 141015, 208531456, 126578688, 122166960, 5534228
1726750649305, 2908221, 141020, 208531456, 126578688, 122173688, 5534239
1726750650311, 2909011, 141055, 208531456, 126578688, 122180416, 5534250
1726750651315, 2909528, 141080, 208531456, 126578688, 122187144, 5534261
1726750652321, 2909928, 141099, 208531456, 126578688, 122193872, 5534272
1726750653325, 2910808, 141142, 208531456, 126578688, 122200600, 5534283
1726750654330, 2911349, 142141, 207699968, 125530112, 121385352, 5532930
1726750655336, 2911860, 142166, 207699968, 125530112, 121392056, 5532941
1726750656341, 2912709, 142208, 207699968, 125530112, 121398696, 5532952
1726750657345, 2913141, 142229, 207699968, 125530112, 121405336, 5532963
1726750658350, 2913977, 142270, 207699968, 125530112, 121411976, 5532974
1726750659356, 2917734, 142272, 207699968, 125530112, 121418728, 5532985
1726750660361, 2918311, 142281, 207699968, 125530112, 121425368, 5532996
1726750661366, 2918987, 142283, 207699968, 125530112, 121432008, 5533007
1726750662371, 2920128, 142283, 207699968, 125530112, 121438648, 5533018
1726750663375, 2920676, 143320, 207699968, 125530112, 121445264, 5533029
1726750664381, 2921454, 143359, 207699968, 125530112, 121451904, 5533040
1726750665386, 2922379, 143362, 207699968, 125530112, 121458544, 5533051
1726750666390, 2923951, 143362, 207699968, 125530112, 121465184, 5533062
1726750667396, 2924533, 143362, 207699968, 125530112, 121471800, 5533073
1726750668400, 2925039, 143384, 207699968, 125530112, 121478416, 5533084
1726750669405, 2925458, 143404, 207699968, 125530112, 121485056, 5533095
1726750670411, 2926164, 143439, 207699968, 125530112, 121491696, 5533106
1726750671416, 2927302, 143446, 207699968, 125530112, 121498336, 5533117
1726750672420, 2927728, 143465, 207699968, 125530112, 121504976, 5533128
1726750673426, 2928306, 143494, 207699968, 125530112, 121511616, 5533139
1726750674430, 2928987, 143500, 207699968, 125530112, 121518256, 5533150
1726750675435, 2929331, 143500, 207699968, 125530112, 121524896, 5533161
1726750676441, 2929837, 143518, 207699968, 125530112, 121531512, 5533172
1726750677445, 2930698, 143522, 207699968, 125530112, 121538152, 5533183
1726750678450, 2931091, 143530, 207699968, 125530112, 121544792, 5533194
1726750679456, 2931668, 143558, 207699968, 125530112, 121551432, 5533205
1726750680460, 2932315, 143563, 207699968, 125530112, 121558072, 5533216
1726750681466, 2932784, 143563, 207699968, 125530112, 121564712, 5533227
1726750682470, 2933726, 143565, 207699968, 125530112, 121571328, 5533238
1726750683475, 2934621, 143565, 207699968, 125530112, 121577968, 5533249
1726750684481, 2935229, 143582, 207699968, 125530112, 121584584, 5533260
1726750685486, 2936223, 143630, 207699968, 125530112, 121591224, 5533271
1726750686491, 2936648, 143651, 207699968, 125530112, 121597864, 5533282
1726750687496, 2937192, 143678, 207699968, 125530112, 121604504, 5533293
1726750688500, 2938004, 143684, 207699968, 125530112, 121611144, 5533304
1726750689506, 2938477, 143690, 207699968, 125530112, 121617784, 5533315
1726750690511, 2939444, 143693, 207699968, 125530112, 121624424, 5533326
1726750691516, 2940500, 143739, 207699968, 125530112, 121631072, 5533337
1726750692521, 2940955, 143761, 207699968, 125530112, 121637712, 5533348
1726750693526, 2941382, 143782, 207699968, 125530112, 121644352, 5533359
