Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms
6,2,3.35,2.63,101.62,260.68,216966.00,0.32,0.51,687.00,440962.00
6,3,3.50,2.43,106.92,250.44,228060.00,0.37,0.57,779.00,448199.00
6,4,3.49,3.16,96.52,232.58,205775.00,0.33,0.56,713.00,452639.00
6,5,3.35,2.31,118.14,271.15,252115.00,0.34,0.54,718.00,478081.00
6,6,3.56,3.81,109.15,244.51,232817.00,0.33,0.52,694.00,401449.00
6,7,5.71,7.95,102.41,231.35,218635.00,0.34,0.49,719.00,115497.00
6,8,3.28,2.59,102.69,232.43,219246.00,0.35,0.54,747.00,486062.00
6,9,3.37,2.63,93.64,200.88,199631.00,0.37,0.54,784.00,480822.00
6,10,3.65,3.34,104.29,235.16,222562.00,0.32,0.52,688.00,426790.00
6,11,3.46,3.02,110.52,272.99,235746.00,0.35,0.54,741.00,431693.00
6,12,3.93,4.74,135.91,320.82,290168.00,0.33,0.50,706.00,321819.00
6,13,3.87,4.53,113.07,278.43,241400.00,0.33,0.49,711.00,396690.00
6,14,3.50,2.58,103.20,235.49,220337.00,0.35,0.53,739.00,476770.00
6,15,3.57,4.23,100.11,240.86,213537.00,0.33,0.54,706.00,446685.00
6,16,3.53,2.56,98.79,230.13,210722.00,0.35,0.51,744.00,480153.00
6,17,3.64,3.15,96.82,203.48,206415.00,0.35,0.53,749.00,482489.00
6,18,3.62,3.46,106.04,251.98,226176.00,0.35,0.52,746.00,448979.00
6,19,3.66,3.37,99.50,225.96,212139.00,0.34,0.52,729.00,423379.00
6,20,3.47,2.58,106.10,259.82,226301.00,0.35,0.52,739.00,471671.00
6,21,3.38,2.82,103.17,252.58,220065.00,0.36,0.54,777.00,503340.00
6,22,3.65,3.66,102.16,225.71,217912.00,0.37,0.55,791.00,429091.00
6,23,3.50,3.10,111.12,255.45,237251.00,0.35,0.54,749.00,462342.00
6,24,8.26,11.94,93.97,197.23,200431.00,0.30,0.49,648.00,79450.00
6,25,3.37,2.84,107.78,253.39,229996.00,0.35,0.54,753.00,484643.00
6,26,3.46,2.91,103.56,254.39,220993.00,0.33,0.52,701.00,482763.00
6,27,3.57,2.70,98.63,230.97,210370.00,0.34,0.52,728.00,478906.00
6,28,3.49,2.45,112.15,284.07,239220.00,0.34,0.53,725.00,469899.00
6,29,3.39,2.94,97.21,215.71,207245.00,0.36,0.55,771.00,488615.00
6,30,4.65,6.53,119.96,272.59,256105.00,0.33,0.52,695.00,243249.00
6,31,3.38,2.86,105.90,235.88,226096.00,0.34,0.53,730.00,455405.00
6,32,3.77,4.17,106.58,265.58,227441.00,0.33,0.54,709.00,422477.00
6,33,3.72,3.78,101.52,236.37,216546.00,0.34,0.53,731.00,426136.00
6,34,3.62,2.74,96.78,219.68,206625.00,0.34,0.52,718.00,465671.00
6,35,3.94,4.56,107.63,237.66,229584.00,0.36,0.56,770.00,363238.00
7,1,3.95,3.40,105.86,218.03,225578.00,0.39,0.57,835.00,536399.00
7,2,4.11,4.14,112.38,321.96,239705.00,0.35,0.55,753.00,537923.00
7,3,5.07,7.61,115.08,242.00,245456.00,0.35,0.53,751.00,358809.00
7,4,6.43,10.11,119.94,289.74,255840.00,0.35,0.51,742.00,251717.00
7,5,3.85,3.06,114.52,294.97,244281.00,0.35,0.52,753.00,551558.00
7,6,3.93,4.37,126.68,302.85,270459.00,0.36,0.55,779.00,525127.00
7,7,4.45,5.93,114.74,250.60,244624.00,0.33,0.53,699.00,470763.00
7,8,3.80,2.69,132.91,348.69,283629.00,0.37,0.58,800.00,593183.00
7,9,3.88,3.24,105.83,234.19,225939.00,0.36,0.56,775.00,560556.00
7,10,8.18,12.40,128.80,276.52,274595.00,0.34,0.49,716.00,147874.00
7,11,8.66,12.61,124.99,291.29,266488.00,0.31,0.49,667.00,102884.00
7,12,4.02,4.22,125.97,288.28,268818.00,0.37,0.53,798.00,525404.00
7,13,4.07,3.98,116.03,282.01,247487.00,0.35,0.52,747.00,534088.00
7,14,9.55,13.50,104.95,235.38,223867.00,0.33,0.52,701.00,82876.00
7,15,4.14,4.52,116.87,266.52,249527.00,0.38,0.55,809.00,515252.00
7,16,4.28,4.76,115.72,250.57,246947.00,0.38,0.55,803.00,505552.00
7,17,7.40,11.52,127.30,291.75,271666.00,0.33,0.51,707.00,163848.00
7,18,3.90,3.08,96.68,209.56,206305.00,0.38,0.54,809.00,568433.00
7,19,4.39,6.18,107.98,263.14,230221.00,0.37,0.56,784.00,478122.00
7,20,4.09,3.80,123.45,301.18,263194.00,0.38,0.55,803.00,572943.00
7,21,3.89,3.12,99.23,232.25,211667.00,0.38,0.56,807.00,567671.00
7,22,3.91,2.57,116.33,310.19,248141.00,0.40,0.55,857.00,584239.00
7,23,4.36,4.41,111.19,248.42,237052.00,0.37,0.56,791.00,507520.00
7,24,3.82,2.93,110.45,267.16,235811.00,0.38,0.57,801.00,565263.00
7,25,4.46,5.48,110.06,266.54,234762.00,0.37,0.55,789.00,492377.00
7,26,6.27,8.59,117.52,265.18,250663.00,0.38,0.56,801.00,396939.00
7,27,4.11,4.29,124.47,291.90,265379.00,0.37,0.56,779.00,557804.00
7,28,4.05,3.05,107.99,255.65,230353.00,0.38,0.57,819.00,552907.00
7,29,4.10,4.39,98.63,224.50,210487.00,0.37,0.57,795.00,516812.00
7,30,8.67,13.44,141.73,355.40,302166.00,0.35,0.51,744.00,135609.00
7,31,5.52,8.52,106.27,227.70,226558.00,0.36,0.55,761.00,374723.00
7,32,4.59,5.79,131.74,296.52,280337.00,0.37,0.55,787.00,453258.00
7,33,5.60,8.22,100.95,264.14,214320.00,0.36,0.53,770.00,385275.00
7,34,3.78,3.27,115.83,256.62,229797.00,0.36,0.55,723.00,548248.00
7,35,4.34,3.36,124.77,288.81,255644.00,0.38,0.58,783.00,565817.00
8,1,2.96,2.91,119.59,294.93,251016.00,0.30,0.51,635.00,546728.00
8,2,2.85,2.07,124.28,299.89,260735.00,0.30,0.49,622.00,639836.00
8,3,2.91,2.32,124.66,270.62,262908.00,0.31,0.50,649.00,627693.00
8,4,2.88,2.27,114.76,241.54,242368.00,0.31,0.50,655.00,596335.00
8,5,2.95,2.12,120.32,287.79,252903.00,0.33,0.55,692.00,609973.00
8,6,3.50,0.50,115.00,164.08,460.00,0.25,0.43,1.00,0.00
8,7,3.01,2.48,131.70,293.64,278020.00,0.32,0.52,677.00,541535.00
8,8,2.92,2.13,141.02,341.67,298255.00,0.32,0.52,684.00,607561.00
8,9,3.00,2.57,121.63,276.71,255417.00,0.31,0.51,653.00,557447.00
8,10,3.00,0.82,134.67,176.31,404.00,0.33,0.47,1.00,0.00
8,11,2.83,1.92,109.80,252.62,229695.00,0.31,0.52,657.00,658367.00
8,12,2.75,1.09,273.25,297.24,1093.00,0.25,0.43,1.00,0.00
8,13,3.00,2.17,139.62,346.94,293476.00,0.32,0.50,671.00,616300.00
8,14,2.84,1.84,114.77,244.89,241246.00,0.32,0.50,664.00,644389.00
8,15,2.89,2.18,125.85,294.75,265164.00,0.30,0.51,635.00,626076.00
8,16,3.07,2.85,130.45,300.74,274069.00,0.31,0.51,644.00,588088.00
8,17,3.05,2.43,113.04,253.09,238169.00,0.31,0.50,647.00,620970.00
8,18,3.07,2.65,116.98,259.87,246350.00,0.30,0.52,641.00,567103.00
8,19,2.97,2.31,125.19,284.81,264020.00,0.30,0.50,641.00,557926.00
8,20,3.08,2.28,121.97,278.80,256261.00,0.33,0.53,690.00,610113.00
8,21,2.99,2.27,119.39,274.36,249516.00,0.30,0.50,620.00,605077.00
8,22,2.99,2.23,108.84,279.55,228774.00,0.31,0.49,642.00,634194.00
8,23,2.96,2.15,123.87,297.30,260011.00,0.34,0.53,713.00,636351.00
8,24,3.20,3.27,118.53,302.20,249029.00,0.31,0.49,647.00,591622.00
8,25,2.99,2.52,125.72,323.09,263134.00,0.33,0.53,684.00,615938.00
8,26,2.98,2.21,125.44,311.13,262666.00,0.33,0.53,692.00,617246.00
8,27,4.00,0.00,246.67,201.65,740.00,0.33,0.47,1.00,0.00
8,28,3.12,2.59,116.14,260.50,239479.00,0.33,0.54,681.00,661806.00
8,29,3.22,2.41,121.49,279.65,253801.00,0.32,0.52,675.00,541099.00
8,30,3.03,2.03,119.05,309.42,248449.00,0.32,0.55,667.00,600487.00
8,31,3.78,4.35,132.38,292.68,279180.00,0.32,0.51,666.00,311328.00
8,32,2.86,2.53,130.85,318.10,275964.00,0.31,0.50,658.00,629183.00
8,33,3.05,2.33,113.66,257.58,238810.00,0.33,0.53,699.00,593550.00
8,34,3.25,2.73,116.08,279.80,243423.00,0.31,0.52,644.00,527118.00
8,35,3.23,2.73,129.45,321.20,272371.00,0.30,0.52,638.00,51.00
9,1,3.25,2.77,113.55,273.90,226864.00,0.31,0.51,617.00,648230.00
9,2,3.33,0.47,12.33,1.25,37.00,0.67,0.47,2.00,0.00
9,3,2.91,1.75,124.88,280.30,250628.00,0.32,0.51,649.00,676015.00
9,4,3.00,1.22,321.13,334.29,2569.00,0.25,0.43,2.00,0.00
9,5,2.92,1.69,132.31,319.55,263302.00,0.32,0.51,642.00,0.00
9,6,3.41,3.35,127.38,291.77,254245.00,0.33,0.51,649.00,43.00
9,7,4.33,5.08,123.48,287.91,251160.00,0.31,0.49,630.00,229545.00
9,8,2.99,2.02,120.02,280.47,238720.00,0.32,0.51,639.00,695759.00
9,9,3.22,2.71,129.22,297.58,258707.00,0.31,0.51,629.00,609511.00
9,10,3.40,3.17,122.11,267.53,243367.00,0.32,0.51,630.00,588537.00
9,11,3.24,2.52,107.47,249.89,230625.00,0.34,0.51,725.00,635415.00
9,12,3.19,2.37,117.92,296.08,234783.00,0.32,0.51,641.00,640081.00
9,13,3.10,1.84,133.07,291.64,267328.00,0.32,0.52,649.00,0.00
9,14,15.04,14.62,20.65,33.57,44533.00,0.26,0.45,554.00,66194.00
9,15,2.92,1.75,129.51,286.39,258636.00,0.33,0.53,659.00,718108.00
9,16,3.06,2.27,117.13,284.56,232973.00,0.31,0.50,615.00,693669.00
9,17,3.09,1.82,119.42,284.32,238364.00,0.32,0.51,644.00,0.00
9,18,3.16,2.07,132.62,341.19,266163.00,0.32,0.50,633.00,685408.00
9,19,13.22,14.66,19.80,31.33,42830.00,0.24,0.45,523.00,78030.00
9,20,3.19,2.07,121.74,278.12,242380.00,0.33,0.51,657.00,681843.00
9,21,3.27,2.62,123.85,291.66,247448.00,0.35,0.53,698.00,649768.00
9,22,3.04,2.01,107.83,264.36,222244.00,0.34,0.52,704.00,680423.00
9,23,3.30,2.60,127.48,311.31,254315.00,0.34,0.53,670.00,613112.00
9,24,3.08,1.84,125.43,283.33,249605.00,0.33,0.51,658.00,711003.00
9,25,3.08,2.33,117.96,282.09,234743.00,0.33,0.51,650.00,669402.00
9,26,3.30,2.40,129.48,289.26,267375.00,0.34,0.54,698.00,608861.00
9,27,11.59,14.66,19.85,33.09,42938.00,0.27,0.45,575.00,105831.00
9,28,3.24,2.47,129.95,313.93,260151.00,0.32,0.53,646.00,637280.00
9,29,3.25,2.73,130.72,307.25,268627.00,0.33,0.50,680.00,639294.00
9,30,3.52,3.22,153.64,345.66,307741.00,0.34,0.53,685.00,502363.00
9,31,3.45,2.75,116.82,262.29,233527.00,0.34,0.54,686.00,630348.00
9,32,3.09,2.30,124.73,273.57,249963.00,0.36,0.56,713.00,719478.00
9,33,3.44,3.15,123.95,315.65,245907.00,0.33,0.54,663.00,656398.00
9,34,3.37,2.82,93.09,215.74,201364.00,0.35,0.54,762.00,572109.00
9,35,3.81,3.84,143.39,341.16,287786.00,0.32,0.51,650.00,342276.00
10,1,2.96,1.87,125.25,346.66,239719.00,0.31,0.50,599.00,0.00
10,2,3.03,2.31,122.35,287.45,234297.00,0.34,0.51,648.00,700292.00
10,3,13.13,13.18,72.37,133.66,156391.00,0.24,0.43,511.00,69261.00
10,4,3.02,1.84,140.16,329.34,268543.00,0.33,0.54,639.00,0.00
10,5,3.54,3.32,74.58,182.49,160564.00,0.33,0.52,705.00,364887.00
10,6,3.26,2.88,126.40,314.95,242805.00,0.33,0.53,635.00,629243.00
10,7,3.10,2.33,65.29,161.89,141292.00,0.34,0.56,731.00,542593.00
10,8,2.97,2.13,120.74,272.77,230252.00,0.33,0.51,636.00,708211.00
