Clients,Iteration,Add_Event_Mean,Add_Event_SD,Fetch_Event_Mean,Fetch_Event_SD,Fetch_Event_Sum,Preprocess_Mean,Preprocess_SD,Preprocess_Sum,First_Event_Latency_ms,RSP_Processing_Mean_ms,RSP_Processing_SD_ms,RSP_Processing_Sum_ms,RSP_Processing_Min_ms,RSP_Processing_Max_ms,RSP_Processing_Count
4,33,5.49,7.76,83.44,199.73,177987.00,0.29,0.46,622.00,82366.00,28.13,14.97,225.00,11.00,57.00,8
4,34,3.07,2.26,76.77,166.04,163818.00,0.31,0.49,657.00,341727.00,39.50,25.53,237.00,12.00,81.00,6
4,35,4.94,6.97,72.45,147.88,154539.00,0.32,0.51,679.00,124997.00,31.33,15.23,282.00,15.00,58.00,9
5,1,3.27,3.07,93.45,208.87,199146.00,0.33,0.53,705.00,376283.00,26.10,21.51,261.00,8.00,77.00,10
5,2,3.46,3.42,95.44,202.27,203568.00,0.32,0.49,682.00,287310.00,38.43,14.99,269.00,13.00,57.00,7
5,3,6.02,8.45,102.25,227.59,218197.00,0.29,0.50,628.00,82454.00,34.10,19.91,341.00,9.00,75.00,10
5,4,7.97,9.79,98.16,207.35,209376.00,0.29,0.50,620.00,75038.00,34.43,20.31,241.00,13.00,67.00,7
5,5,3.02,2.44,97.34,210.03,207728.00,0.33,0.50,701.00,363519.00,36.43,23.49,255.00,12.00,78.00,7
5,6,4.33,5.85,90.42,207.04,193056.00,0.32,0.51,685.00,227064.00,43.86,22.45,307.00,14.00,77.00,7
5,7,5.86,8.26,92.96,199.86,198107.00,0.30,0.49,633.00,79558.00,38.29,20.22,268.00,17.00,68.00,7
5,8,3.30,2.91,101.95,234.05,217351.00,0.32,0.49,686.00,355908.00,27.18,23.19,299.00,8.00,78.00,11
5,9,3.95,5.09,88.27,195.55,188378.00,0.31,0.49,665.00,253469.00,30.60,19.33,306.00,12.00,71.00,10
5,10,6.08,8.63,105.90,230.25,225981.00,0.30,0.49,646.00,80204.00,28.44,12.07,256.00,9.00,50.00,9
5,11,3.51,4.18,98.12,218.55,209190.00,0.30,0.49,640.00,305685.00,35.50,23.11,355.00,9.00,81.00,10
5,12,3.29,3.04,90.41,220.57,192842.00,0.32,0.50,679.00,383404.00,31.50,16.54,252.00,13.00,59.00,8
5,13,5.75,8.09,100.24,218.97,213702.00,0.30,0.50,650.00,96789.00,36.63,15.12,293.00,18.00,63.00,8
5,14,6.11,8.54,95.70,201.87,204322.00,0.30,0.49,631.00,80932.00,27.55,11.10,303.00,15.00,51.00,11
5,15,3.48,3.84,100.81,216.07,215020.00,0.30,0.49,643.00,338556.00,43.38,23.17,347.00,19.00,88.00,8
5,16,3.15,2.31,99.53,277.29,212193.00,0.34,0.51,715.00,391683.00,23.89,19.59,215.00,6.00,71.00,9
5,17,3.31,3.34,96.02,229.61,204996.00,0.31,0.48,655.00,349375.00,33.00,23.72,264.00,10.00,84.00,8
5,18,7.07,10.53,98.02,206.69,209080.00,0.32,0.51,686.00,70454.00,29.73,17.04,327.00,12.00,70.00,11
5,19,3.05,2.10,106.24,248.58,226711.00,0.33,0.51,710.00,403745.00,31.14,18.88,218.00,12.00,70.00,7
5,20,5.16,7.19,104.47,246.44,222932.00,0.30,0.54,645.00,116244.00,34.10,19.85,341.00,8.00,72.00,10
5,21,5.96,7.95,94.25,192.20,200950.00,0.29,0.47,627.00,72696.00,34.43,17.79,241.00,18.00,68.00,7
5,22,3.91,4.91,88.52,187.99,188810.00,0.30,0.48,645.00,268970.00,29.00,20.34,290.00,8.00,80.00,10
5,23,3.58,4.43,96.86,208.42,206603.00,0.30,0.49,640.00,288358.00,43.43,21.09,304.00,13.00,66.00,7
5,24,3.37,2.59,83.67,187.72,178463.00,0.33,0.50,710.00,378709.00,31.78,14.30,286.00,11.00,51.00,9
5,25,6.61,9.35,96.19,214.25,205366.00,0.32,0.50,689.00,67285.00,33.40,21.96,334.00,12.00,74.00,10
5,26,3.45,3.62,86.52,218.07,184721.00,0.31,0.49,668.00,381765.00,30.09,15.84,331.00,11.00,64.00,11
5,27,6.03,8.54,94.27,200.45,201264.00,0.31,0.50,657.00,100057.00,35.57,15.39,249.00,23.00,70.00,7
5,28,3.40,2.74,87.38,205.97,186391.00,0.35,0.51,736.00,400574.00,34.63,18.77,277.00,10.00,60.00,8
5,29,3.67,4.23,84.10,176.00,179386.00,0.32,0.48,693.00,311025.00,38.57,20.47,270.00,13.00,78.00,7
5,30,4.68,6.41,97.30,238.62,207630.00,0.31,0.49,672.00,159187.00,30.75,14.97,369.00,11.00,60.00,12
5,31,3.85,4.44,89.50,194.17,191088.00,0.32,0.49,688.00,246827.00,37.25,16.32,298.00,15.00,62.00,8
5,32,3.08,2.49,105.51,236.66,225260.00,0.34,0.54,719.00,392523.00,59.00,20.33,236.00,25.00,78.00,4
5,33,3.68,3.99,99.05,233.33,211176.00,0.32,0.49,675.00,326398.00,33.60,16.56,336.00,18.00,72.00,10
5,34,3.26,2.44,82.33,193.22,175533.00,0.33,0.52,700.00,417474.00,39.57,21.74,277.00,9.00,73.00,7
5,35,7.02,10.54,88.83,197.09,189660.00,0.30,0.52,635.00,75888.00,32.27,13.80,355.00,15.00,57.00,11
6,1,3.45,3.43,124.35,282.90,265107.00,0.31,0.51,671.00,416912.00,65.50,8.96,262.00,60.00,81.00,4
6,2,3.35,2.63,101.62,260.68,216966.00,0.32,0.51,687.00,440962.00,36.43,15.62,255.00,15.00,59.00,7
6,3,3.50,2.43,106.92,250.44,228060.00,0.37,0.57,779.00,448199.00,34.14,22.47,239.00,11.00,65.00,7
6,4,3.49,3.16,96.52,232.58,205775.00,0.33,0.56,713.00,452639.00,44.86,25.19,314.00,6.00,88.00,7
